emotion_name,review
sadness,Customer care ne ignore kiya
surprise,Review ke hisab se zyada acha nikla
sadness,Mujhe is purchase ka regret hai
anger,Replacement process bohot slow hai
joy,App ka experience mast laga
sadness,Mujhe is purchase ka regret hai
fear,Bohot risky laga pehli baar order karte hue
joy,Itna acha product expect nahi kiya tha
sadness,Bahut disappoint hua is order se
shame,"App me galti se review post ho gaya, embarrassing moment"
sadness,Product photo jaisa nahi tha
joy,"Product bahut accha tha, mujhe pasand aaya"
anger,Packaging kharab thi
joy,Service ne dil jeet liya
surprise,Discount dekh kar shock lag gaya
joy,Service ne dil jeet liya
shame,Ye product use karte hue embarrass feel hua
joy,"Bohot acchi quality hai, recommend karunga"
fear,Online order karte hue darr lagta hai
surprise,"Itna jaldi deliver hoga, expect nahi kiya tha"
anger,Customer support useless tha
surprise,Discount dekh kar shock lag gaya
disgust,Smell itni bad thi ki use nahi kar paya
fear,Mujhe fraud hone ka doubt tha
shame,"Friends ke saamne product fail ho gaya, bura laga"
disgust,"Product dirty tha, safai zero thi"
joy,Customer care helpful tha
neutral,Mujhe koi issue nahi hua
sadness,Expected quality nahi mili
joy,App ka experience mast laga
fear,Fake product milne ka darr rehta hai
sadness,Seller ne galat item bheja
fear,Mujhe laga product duplicate hoga
disgust,Mujhe vomit jaisa feel hua product dekh kar
fear,"Payment stuck ho gaya, tension ho gayi"
neutral,Delivery time par hui
sadness,"Refund nahi mila, bura laga"
joy,"Quality superb thi, paisa vasool"
sadness,Product photo jaisa nahi tha
shame,Mujhe lagta hai ye product lene ka decision stupid tha
surprise,Product quality dekh kar surprise hua
surprise,"Free gift mila, wow!"
surprise,App ka design dekh kar impress hua
disgust,"Food item stale tha, bilkul bakwas"
surprise,Itni kam price me itna acha product!
joy,Itna acha product expect nahi kiya tha
fear,"Payment stuck ho gaya, tension ho gayi"
surprise,"Packaging bohot acchi thi, socha nahi tha"
sadness,Seller ne galat item bheja
joy,"Mujhe discount mil gaya, mast laga"
neutral,Product thik thak tha
surprise,Itni kam price me itna acha product!
sadness,Expected quality nahi mili
disgust,App me fake reviews dekh kar gussa aur ghin dono aaya
anger,"App baar baar crash hota hai, irritating hai"
surprise,"Packaging bohot acchi thi, socha nahi tha"
anger,Packaging kharab thi
anger,Seller ne galat product bheja
surprise,App ka design dekh kar impress hua
anger,Replacement process bohot slow hai
shame,Mujhe laga maine galat decision liya
disgust,Product dekh kar ghin aayi
joy,"Quality superb thi, paisa vasool"
sadness,Expected quality nahi mili
surprise,Product quality dekh kar surprise hua
fear,Fake product milne ka darr rehta hai
disgust,"Quality itni bekaar thi, disgusting laga"
surprise,"Packaging bohot acchi thi, socha nahi tha"
anger,Replacement process bohot slow hai
fear,Mujhe laga product duplicate hoga
joy,"Quality superb thi, paisa vasool"
neutral,Bas thoda better ho sakta tha
shame,Review likhne me bhi sharam aa rahi hai
shame,Ye product use karte hue embarrass feel hua
joy,Packaging dekh kar khushi hui
joy,"Mujhe discount mil gaya, mast laga"
joy,"Quality superb thi, paisa vasool"
fear,Delivery boy se thoda dar laga
joy,Itna acha product expect nahi kiya tha
sadness,"Refund nahi mila, bura laga"
surprise,App ka design dekh kar impress hua
surprise,"Itna jaldi deliver hoga, expect nahi kiya tha"
fear,Bohot risky laga pehli baar order karte hue
neutral,Kuch khaas nahi tha
sadness,"Refund nahi mila, bura laga"
fear,Delivery boy se thoda dar laga
fear,Fake product milne ka darr rehta hai
disgust,"Product dirty tha, safai zero thi"
neutral,Service normal thi
anger,Packaging kharab thi
shame,Itna cheap product order karke sharm aayi
joy,Itna acha product expect nahi kiya tha
shame,Mujhe lagta hai ye product lene ka decision stupid tha
disgust,"Food item stale tha, bilkul bakwas"
surprise,Product quality dekh kar surprise hua
disgust,Smell itni bad thi ki use nahi kar paya
fear,App hack hone ka risk lagta hai
shame,Mujhe lagta hai ye product lene ka decision stupid tha
anger,"App baar baar crash hota hai, irritating hai"
fear,Card details share karne me hesitation thi
joy,Service ne dil jeet liya
sadness,Mera paisa waste gaya
fear,App hack hone ka risk lagta hai
disgust,Mujhe lagta hai ye product kisi ne pehle use kiya tha
joy,"Delivery time par hui, dil khush ho gaya"
disgust,Product dekh kar ghin aayi
joy,App ka experience mast laga
sadness,"Item broken nikla, dil dukha gaya"
disgust,Product dekh kar ghin aayi
disgust,"Parcel open kiya toh smell aayi, pathetic experience"
fear,Card details share karne me hesitation thi
disgust,"Food item stale tha, bilkul bakwas"
surprise,"Itna smooth process, expected nahi tha"
sadness,"Refund nahi mila, bura laga"
surprise,"Itna jaldi deliver hoga, expect nahi kiya tha"
anger,Replacement process bohot slow hai
fear,Mujhe laga product duplicate hoga
disgust,App me fake reviews dekh kar gussa aur ghin dono aaya
anger,Seller ne galat product bheja
shame,Itna cheap product order karke sharm aayi
fear,Fake product milne ka darr rehta hai
shame,Mujhe lagta hai ye product lene ka decision stupid tha
joy,Itna acha product expect nahi kiya tha
anger,Replacement process bohot slow hai
joy,App ka experience mast laga
disgust,Product dekh kar ghin aayi
neutral,Delivery time par hui
anger,Packaging kharab thi
disgust,Smell itni bad thi ki use nahi kar paya
joy,"Bohot acchi quality hai, recommend karunga"
anger,"Product defective nikla, gussa aa gaya"
anger,Mujhe cheating jaisa laga
sadness,Bahut disappoint hua is order se
shame,Customer care ko call karte hue awkward tha
shame,Customer care ko call karte hue awkward tha
fear,"Payment stuck ho gaya, tension ho gayi"
surprise,"Itna smooth process, expected nahi tha"
neutral,Service normal thi
disgust,"Product dirty tha, safai zero thi"
neutral,Na zyada acha na bura
sadness,"Bahut wait karna pada, phir bhi cancel ho gaya"
shame,Itna cheap product order karke sharm aayi
sadness,Customer care ne ignore kiya
sadness,Seller ne galat item bheja
fear,"Payment stuck ho gaya, tension ho gayi"
fear,Return karte hue transaction ka darr tha
disgust,"Product dirty tha, safai zero thi"
anger,"Product defective nikla, gussa aa gaya"
fear,Fake product milne ka darr rehta hai
anger,"Product defective nikla, gussa aa gaya"
sadness,Customer care ne ignore kiya
anger,Packaging kharab thi
surprise,Discount dekh kar shock lag gaya
joy,App ka experience mast laga
disgust,Smell itni bad thi ki use nahi kar paya
sadness,"Item broken nikla, dil dukha gaya"
disgust,Product dekh kar ghin aayi
sadness,Customer care ne ignore kiya
neutral,Delivery time par hui
joy,"Quality superb thi, paisa vasool"
fear,Delivery boy se thoda dar laga
neutral,Mujhe koi issue nahi hua
anger,Packaging kharab thi
sadness,"Bahut wait karna pada, phir bhi cancel ho gaya"
disgust,Customer care ka behavior disgusting tha
fear,App hack hone ka risk lagta hai
joy,Packaging dekh kar khushi hui
joy,Customer care helpful tha
shame,"Friends ke saamne product fail ho gaya, bura laga"
joy,"Delivery time par hui, dil khush ho gaya"
anger,"Refund nahi mila, bohot gussa aaya"
anger,"Refund nahi mila, bohot gussa aaya"
shame,Ye product use karte hue embarrass feel hua
anger,"App baar baar crash hota hai, irritating hai"
neutral,Average experience tha
joy,Service ne dil jeet liya
fear,Fake product milne ka darr rehta hai
joy,App ka experience mast laga
sadness,"Refund nahi mila, bura laga"
neutral,Bas thoda better ho sakta tha
joy,Packaging dekh kar khushi hui
shame,Review likhne me bhi sharam aa rahi hai
shame,Return karte hue awkward feel hua
anger,Mujhe cheating jaisa laga
joy,"Bohot acchi quality hai, recommend karunga"
fear,Mujhe fraud hone ka doubt tha
shame,"App me galti se review post ho gaya, embarrassing moment"
fear,App hack hone ka risk lagta hai
neutral,Average experience tha
disgust,"Quality itni bekaar thi, disgusting laga"
disgust,Mujhe vomit jaisa feel hua product dekh kar
joy,"Mujhe discount mil gaya, mast laga"
anger,Seller ne galat product bheja
shame,"Logo ne mazak udaya, bohot sharam aayi"
joy,"Product bahut accha tha, mujhe pasand aaya"
anger,Packaging kharab thi
disgust,Product dekh kar ghin aayi
sadness,Seller ne galat item bheja
sadness,"Refund nahi mila, bura laga"
fear,Delivery boy se thoda dar laga
neutral,Kuch khaas nahi tha
anger,"Product defective nikla, gussa aa gaya"
sadness,Product photo jaisa nahi tha
neutral,App ka UI theek hai
disgust,Product dekh kar ghin aayi
disgust,Product dekh kar ghin aayi
anger,"App baar baar crash hota hai, irritating hai"
neutral,Product thik thak tha
disgust,Mujhe lagta hai ye product kisi ne pehle use kiya tha
neutral,Bas thoda better ho sakta tha
anger,Customer support useless tha
disgust,"Quality itni bekaar thi, disgusting laga"
joy,"Quality superb thi, paisa vasool"
disgust,"Product dirty tha, safai zero thi"
disgust,Customer care ka behavior disgusting tha
surprise,"Free gift mila, wow!"
neutral,Bas thoda better ho sakta tha
shame,Customer care ko call karte hue awkward tha
disgust,"Quality itni bekaar thi, disgusting laga"
sadness,Product photo jaisa nahi tha
neutral,Na zyada acha na bura
joy,Service ne dil jeet liya
anger,Mujhe cheating jaisa laga
fear,Bohot risky laga pehli baar order karte hue
fear,Card details share karne me hesitation thi
shame,Customer care ko call karte hue awkward tha
sadness,"Refund nahi mila, bura laga"
surprise,"Itna jaldi deliver hoga, expect nahi kiya tha"
joy,"Product bahut accha tha, mujhe pasand aaya"
disgust,App me fake reviews dekh kar gussa aur ghin dono aaya
sadness,Expected quality nahi mili
disgust,"Food item stale tha, bilkul bakwas"
disgust,"Quality itni bekaar thi, disgusting laga"
sadness,"Bahut wait karna pada, phir bhi cancel ho gaya"
surprise,"Free gift mila, wow!"
joy,"Bohot acchi quality hai, recommend karunga"
disgust,Smell itni bad thi ki use nahi kar paya
joy,Packaging dekh kar khushi hui
fear,Card details share karne me hesitation thi
sadness,"Refund nahi mila, bura laga"
shame,Review likhne me bhi sharam aa rahi hai
fear,Online order karte hue darr lagta hai
sadness,Product photo jaisa nahi tha
sadness,Product photo jaisa nahi tha
sadness,"Item broken nikla, dil dukha gaya"
anger,"Product defective nikla, gussa aa gaya"
joy,Service ne dil jeet liya
shame,Itna cheap product order karke sharm aayi
joy,Packaging dekh kar khushi hui
anger,"Refund nahi mila, bohot gussa aaya"
disgust,App me fake reviews dekh kar gussa aur ghin dono aaya
neutral,App ka UI theek hai
shame,Mujhe lagta hai ye product lene ka decision stupid tha
shame,Ye product use karte hue embarrass feel hua
neutral,Na zyada acha na bura
neutral,App ka UI theek hai
disgust,Customer care ka behavior disgusting tha
fear,Delivery boy se thoda dar laga
neutral,App ka UI theek hai
fear,Delivery boy se thoda dar laga
sadness,Mera paisa waste gaya
joy,"Bohot acchi quality hai, recommend karunga"
disgust,Product dekh kar ghin aayi
sadness,Mujhe is purchase ka regret hai
neutral,Overall okay lagta hai
joy,"Quality superb thi, paisa vasool"
joy,Customer care helpful tha
disgust,Mujhe vomit jaisa feel hua product dekh kar
disgust,"Food item stale tha, bilkul bakwas"
shame,Mujhe lagta hai ye product lene ka decision stupid tha
fear,Delivery boy se thoda dar laga
joy,"Quality superb thi, paisa vasool"
joy,"Quality superb thi, paisa vasool"
sadness,Expected quality nahi mili
shame,"Logo ne mazak udaya, bohot sharam aayi"
neutral,Service normal thi
fear,Card details share karne me hesitation thi
shame,Return karte hue awkward feel hua
fear,Mujhe laga product duplicate hoga
anger,Replacement process bohot slow hai
surprise,"Free gift mila, wow!"
sadness,"Item broken nikla, dil dukha gaya"
neutral,Service normal thi
disgust,Product dekh kar ghin aayi
disgust,"Quality itni bekaar thi, disgusting laga"
surprise,Review ke hisab se zyada acha nikla
neutral,Delivery time par hui
fear,Mujhe laga product duplicate hoga
joy,Service ne dil jeet liya
disgust,Mujhe vomit jaisa feel hua product dekh kar
neutral,Overall okay lagta hai
neutral,Average experience tha
anger,Seller ne galat product bheja
neutral,Mujhe koi issue nahi hua
sadness,"Bahut wait karna pada, phir bhi cancel ho gaya"
shame,Mujhe laga maine galat decision liya
joy,"Product bahut accha tha, mujhe pasand aaya"
surprise,Review ke hisab se zyada acha nikla
anger,Customer support useless tha
shame,"App me galti se review post ho gaya, embarrassing moment"
sadness,Mujhe is purchase ka regret hai
sadness,"Refund nahi mila, bura laga"
sadness,Mera paisa waste gaya
neutral,Kuch khaas nahi tha
surprise,"Itna smooth process, expected nahi tha"
disgust,Customer care ka behavior disgusting tha
disgust,"Parcel open kiya toh smell aayi, pathetic experience"
sadness,Seller ne galat item bheja
neutral,Service normal thi
surprise,"Delivery boy ne polite behave kiya, surprise mila"
joy,Packaging dekh kar khushi hui
joy,Itna acha product expect nahi kiya tha
surprise,Review ke hisab se zyada acha nikla
neutral,Service normal thi
fear,Mujhe fraud hone ka doubt tha
fear,"Payment stuck ho gaya, tension ho gayi"
fear,Fake product milne ka darr rehta hai
joy,Customer care helpful tha
sadness,Expected quality nahi mili
surprise,"Delivery boy ne polite behave kiya, surprise mila"
neutral,Product thik thak tha
sadness,Mera paisa waste gaya
anger,Seller ne galat product bheja
anger,Customer support useless tha
sadness,Mujhe is purchase ka regret hai
surprise,"Packaging bohot acchi thi, socha nahi tha"
disgust,Smell itni bad thi ki use nahi kar paya
neutral,Delivery time par hui
surprise,"Itna jaldi deliver hoga, expect nahi kiya tha"
surprise,"Delivery boy ne polite behave kiya, surprise mila"
sadness,"Refund nahi mila, bura laga"
joy,"Product bahut accha tha, mujhe pasand aaya"
joy,"Bohot acchi quality hai, recommend karunga"
fear,Card details share karne me hesitation thi
fear,Online order karte hue darr lagta hai
surprise,Discount dekh kar shock lag gaya
joy,Customer care helpful tha
neutral,Na zyada acha na bura
disgust,"Parcel open kiya toh smell aayi, pathetic experience"
disgust,"Product dirty tha, safai zero thi"
surprise,Product quality dekh kar surprise hua
neutral,Average experience tha
fear,Delivery boy se thoda dar laga
shame,Customer care ko call karte hue awkward tha
joy,Itna acha product expect nahi kiya tha
neutral,Service normal thi
disgust,App me fake reviews dekh kar gussa aur ghin dono aaya
anger,Seller ne galat product bheja
neutral,Mujhe koi issue nahi hua
anger,"Refund nahi mila, bohot gussa aaya"
anger,"Refund nahi mila, bohot gussa aaya"
shame,"App me galti se review post ho gaya, embarrassing moment"
joy,App ka experience mast laga
disgust,Mujhe lagta hai ye product kisi ne pehle use kiya tha
anger,"Refund nahi mila, bohot gussa aaya"
surprise,"Free gift mila, wow!"
fear,"Payment stuck ho gaya, tension ho gayi"
joy,Service ne dil jeet liya
anger,Replacement process bohot slow hai
disgust,App me fake reviews dekh kar gussa aur ghin dono aaya
neutral,Na zyada acha na bura
joy,Packaging dekh kar khushi hui
anger,Packaging kharab thi
surprise,Review ke hisab se zyada acha nikla
surprise,Product quality dekh kar surprise hua
fear,Return karte hue transaction ka darr tha
surprise,Product quality dekh kar surprise hua
anger,"Delivery bahut late aayi, ghussa aa gaya"
disgust,"Food item stale tha, bilkul bakwas"
disgust,Product dekh kar ghin aayi
joy,Customer care helpful tha
sadness,"Bahut wait karna pada, phir bhi cancel ho gaya"
disgust,Smell itni bad thi ki use nahi kar paya
joy,"Bohot acchi quality hai, recommend karunga"
disgust,Product dekh kar ghin aayi
neutral,Delivery time par hui
disgust,"Quality itni bekaar thi, disgusting laga"
sadness,"Refund nahi mila, bura laga"
surprise,"Itna smooth process, expected nahi tha"
anger,Bohot poor service thi
fear,Fake product milne ka darr rehta hai
fear,App hack hone ka risk lagta hai
joy,Service ne dil jeet liya
sadness,Seller ne galat item bheja
joy,"Product bahut accha tha, mujhe pasand aaya"
shame,"Friends ke saamne product fail ho gaya, bura laga"
joy,"Delivery time par hui, dil khush ho gaya"
sadness,"Item broken nikla, dil dukha gaya"
anger,Replacement process bohot slow hai
neutral,Overall okay lagta hai
anger,Replacement process bohot slow hai
joy,"Quality superb thi, paisa vasool"
joy,Service ne dil jeet liya
shame,Mujhe lagta hai ye product lene ka decision stupid tha
sadness,Mera paisa waste gaya
fear,"Payment stuck ho gaya, tension ho gayi"
disgust,"Quality itni bekaar thi, disgusting laga"
joy,Packaging dekh kar khushi hui
fear,Return karte hue transaction ka darr tha
disgust,Mujhe vomit jaisa feel hua product dekh kar
shame,Mujhe laga maine galat decision liya
joy,Service ne dil jeet liya
neutral,Product thik thak tha
joy,App ka experience mast laga
disgust,"Food item stale tha, bilkul bakwas"
fear,Bohot risky laga pehli baar order karte hue
joy,Itna acha product expect nahi kiya tha
fear,Delivery boy se thoda dar laga
surprise,"Free gift mila, wow!"
sadness,"Item broken nikla, dil dukha gaya"
sadness,"Item broken nikla, dil dukha gaya"
disgust,Smell itni bad thi ki use nahi kar paya
surprise,"Packaging bohot acchi thi, socha nahi tha"
neutral,Product thik thak tha
joy,Itna acha product expect nahi kiya tha
disgust,Mujhe vomit jaisa feel hua product dekh kar
neutral,Mujhe koi issue nahi hua
surprise,Discount dekh kar shock lag gaya
surprise,Impressed by the app design
surprise,Didn’t expect such a good product at this price
fear,"Payment got stuck, I panicked"
neutral,The product was okay
joy,Service made me really happy
joy,"Got a discount, made my day"
shame,"People made fun of my choice, I felt ashamed"
joy,Packaging made me smile
fear,Thought the product might be duplicate
surprise,The whole process was smoother than I thought
disgust,The product was disgusting to look at
surprise,"Delivery guy was polite, nice surprise"
shame,Felt embarrassed using it
disgust,"Food item was stale, absolutely terrible"
joy,Service made me really happy
sadness,Customer care ignored my issue
shame,This purchase makes me feel dumb
fear,Afraid of getting fake products
anger,Replacement process was super slow
fear,"Payment got stuck, I panicked"
surprise,Impressed by the app design
shame,Felt ashamed for ordering such a cheap product
joy,App experience was great and smooth
sadness,Seller sent the wrong item
sadness,Product didn’t look like the photo
sadness,Very disappointed with this order
surprise,"Delivery guy was polite, nice surprise"
shame,"Accidentally posted a review, felt awkward"
sadness,Customer care ignored my issue
disgust,"Quality was horrible, felt gross"
surprise,The whole process was smoother than I thought
joy,"Great quality, will recommend to others"
fear,I always feel nervous ordering online
surprise,Didn’t expect it to deliver so fast
shame,Felt awkward returning it
shame,"People made fun of my choice, I felt ashamed"
disgust,"Food item was stale, absolutely terrible"
sadness,Seller sent the wrong item
joy,"Delivered on time, very happy"
joy,Service made me really happy
neutral,Delivered on time
sadness,Regret buying this product
neutral,Neither good nor bad
fear,Was worried about being scammed
shame,This purchase makes me feel dumb
joy,"Got a discount, made my day"
disgust,"Parcel smelled awful, pathetic experience"
joy,"Quality was superb, totally worth the money"
disgust,Seems like someone used this before
disgust,Felt nauseous after opening the package
shame,Even writing this review feels embarrassing
sadness,Customer care ignored my issue
surprise,Product quality surprised me
fear,Scared of losing money online
sadness,Very disappointed with this order
sadness,Regret buying this product
surprise,The whole process was smoother than I thought
surprise,Discount was shocking but awesome
neutral,The service was fine
disgust,Seems like someone used this before
disgust,Product was dirty and unhygienic
disgust,Smelled so bad I couldn’t use it
sadness,Regret buying this product
anger,"Delivery was very late, really angry"
joy,Did not expect such a good product
fear,The delivery guy looked suspicious
sadness,Product didn’t look like the photo
shame,"Accidentally posted a review, felt awkward"
shame,Felt stupid calling customer care for this
neutral,Overall it’s fine
fear,I always feel nervous ordering online
disgust,"Quality was horrible, felt gross"
shame,Even writing this review feels embarrassing
neutral,An average experience overall
neutral,The service was fine
anger,Seller sent the wrong product
disgust,Fake reviews made me sick
disgust,Felt nauseous after opening the package
disgust,"Quality was horrible, felt gross"
shame,Felt stupid calling customer care for this
sadness,My money got wasted
anger,"App keeps crashing, very irritating"
anger,"Delivery was very late, really angry"
surprise,Didn’t expect it to deliver so fast
neutral,Nothing special about it
shame,Felt stupid calling customer care for this
fear,"Payment got stuck, I panicked"
joy,Customer care was very helpful
disgust,The product was disgusting to look at
sadness,Very disappointed with this order
surprise,"Delivery guy was polite, nice surprise"
disgust,"Parcel smelled awful, pathetic experience"
fear,Thought the product might be duplicate
joy,"Delivered on time, very happy"
disgust,Seems like someone used this before
disgust,"Parcel smelled awful, pathetic experience"
shame,Felt stupid calling customer care for this
fear,The delivery guy looked suspicious
anger,Packaging was damaged
joy,Packaging made me smile
shame,"Accidentally posted a review, felt awkward"
anger,"Product turned out defective, so mad"
disgust,The product was disgusting to look at
shame,"Product failed in front of friends, so embarrassing"
disgust,Product was dirty and unhygienic
surprise,Impressed by the app design
sadness,"No refund, very upsetting"
disgust,Customer service behavior was disgusting
shame,"People made fun of my choice, I felt ashamed"
neutral,The product was okay
joy,"The product was amazing, I loved it"
anger,Felt like I was being cheated
surprise,The whole process was smoother than I thought
shame,"People made fun of my choice, I felt ashamed"
neutral,App interface is okay
surprise,Product turned out better than reviews
shame,Felt stupid calling customer care for this
sadness,Very disappointed with this order
anger,Felt like I was being cheated
fear,"Payment got stuck, I panicked"
disgust,"Quality was horrible, felt gross"
sadness,Seller sent the wrong item
fear,The delivery guy looked suspicious
fear,Afraid of getting fake products
sadness,Customer care ignored my issue
shame,Realized I made a bad purchase decision
anger,"Delivery was very late, really angry"
surprise,Impressed by the app design
surprise,"Got a free gift, wow!"
surprise,"Got a free gift, wow!"
joy,Service made me really happy
disgust,Customer service behavior was disgusting
neutral,Didn’t face any issue
sadness,Customer care ignored my issue
neutral,Neither good nor bad
joy,"The product was amazing, I loved it"
surprise,Product turned out better than reviews
fear,Ordering for the first time felt risky
shame,Felt stupid calling customer care for this
sadness,Customer care ignored my issue
neutral,Delivered on time
disgust,Fake reviews made me sick
shame,Felt awkward returning it
anger,"App keeps crashing, very irritating"
surprise,Product quality surprised me
shame,Even writing this review feels embarrassing
shame,Felt embarrassed using it
joy,Customer care was very helpful
sadness,Very disappointed with this order
anger,"Delivery was very late, really angry"
fear,Afraid of getting fake products
neutral,An average experience overall
surprise,Product quality surprised me
disgust,Customer service behavior was disgusting
disgust,Smelled so bad I couldn’t use it
surprise,Product turned out better than reviews
disgust,Customer service behavior was disgusting
disgust,"Parcel smelled awful, pathetic experience"
sadness,Waited a lot but order got cancelled
joy,Did not expect such a good product
fear,Afraid of getting fake products
neutral,App interface is okay
anger,The service was terrible
anger,Felt like I was being cheated
joy,Packaging made me smile
surprise,Product quality surprised me
disgust,The product was disgusting to look at
disgust,Felt nauseous after opening the package
sadness,Customer care ignored my issue
sadness,My money got wasted
surprise,Impressed by the app design
fear,Scared of losing money online
neutral,App interface is okay
shame,Felt stupid calling customer care for this
joy,"Quality was superb, totally worth the money"
surprise,The whole process was smoother than I thought
neutral,Nothing special about it
surprise,Discount was shocking but awesome
disgust,Smelled so bad I couldn’t use it
anger,Seller sent the wrong product
joy,Service made me really happy
anger,Seller sent the wrong product
disgust,Smelled so bad I couldn’t use it
sadness,Waited a lot but order got cancelled
shame,Even writing this review feels embarrassing
shame,Felt ashamed for ordering such a cheap product
neutral,Neither good nor bad
disgust,"Quality was horrible, felt gross"
shame,"Accidentally posted a review, felt awkward"
anger,Customer support was useless
anger,The service was terrible
disgust,Customer service behavior was disgusting
surprise,Product turned out better than reviews
surprise,Didn’t expect such a good product at this price
anger,Packaging was damaged
shame,Felt stupid calling customer care for this
neutral,Delivered on time
joy,Packaging made me smile
disgust,"Parcel smelled awful, pathetic experience"
sadness,Regret buying this product
neutral,App interface is okay
sadness,"No refund, very upsetting"
fear,Thought the product might be duplicate
joy,"Quality was superb, totally worth the money"
neutral,Didn’t face any issue
shame,Felt stupid calling customer care for this
neutral,Could have been a bit better
surprise,Product quality surprised me
joy,"Delivered on time, very happy"
anger,Felt like I was being cheated
fear,The delivery guy looked suspicious
shame,"Product failed in front of friends, so embarrassing"
sadness,Didn't get the expected quality
surprise,The whole process was smoother than I thought
fear,Thought the product might be duplicate
joy,App experience was great and smooth
joy,"The product was amazing, I loved it"
sadness,Waited a lot but order got cancelled
disgust,"Quality was horrible, felt gross"
shame,"People made fun of my choice, I felt ashamed"
anger,Packaging was damaged
fear,Ordering for the first time felt risky
disgust,Product was dirty and unhygienic
neutral,The service was fine
surprise,Impressed by the app design
anger,"Delivery was very late, really angry"
shame,"Product failed in front of friends, so embarrassing"
fear,Ordering for the first time felt risky
fear,The delivery guy looked suspicious
fear,Was worried about being scammed
surprise,Didn’t expect such a good product at this price
disgust,Smelled so bad I couldn’t use it
neutral,Overall it’s fine
anger,The service was terrible
neutral,Delivered on time
joy,"Quality was superb, totally worth the money"
disgust,Customer service behavior was disgusting
shame,Felt stupid calling customer care for this
sadness,"No refund, very upsetting"
surprise,Impressed by the app design
disgust,Seems like someone used this before
disgust,Seems like someone used this before
disgust,Seems like someone used this before
surprise,"Delivery guy was polite, nice surprise"
shame,This purchase makes me feel dumb
sadness,Didn't get the expected quality
fear,Ordering for the first time felt risky
surprise,"Delivery guy was polite, nice surprise"
anger,"Delivery was very late, really angry"
disgust,Product was dirty and unhygienic
disgust,"Food item was stale, absolutely terrible"
joy,"Great quality, will recommend to others"
fear,Feels risky to share card details
